shortName,npxG_adjusted_per90,final_third_passes_adjusted_per90,final_third_receptions_adjusted_per90,ground_duels_won_adjusted_per90,air_duels_won_adjusted_per90,smart_passes_adjusted_per90,goals_adjusted_per90,assists_adjusted_per90,key_passes_adjusted_per90,Minutes
Mohamed Salah,0.870522235,21.33853701,31.35045721,10.06248546,0.505652536,1.264131339,1.567522861,0.353956775,0.556217789,2995
B. Afobe,0.530389557,15.56397579,18.05421191,8.71582644,5.291751767,0,0,0,0,591
A. Martial,0.636789628,30.31621565,40.12146032,14.50775996,1.500802755,1.600856272,0.800428136,0.500267585,1.200642204,1650
O. Niasse,1.275687194,15.55862997,31.11725995,11.62622899,6.667984274,0.854869779,1.367791646,0.170973956,0.512921867,1159
S. Mounié,0.623682187,12.3117965,20.28984064,4.333752369,16.05458264,0.098494372,0.787954976,0.098494372,0.295483116,1938
Ayoze Pérez,0.579595525,17.65456874,24.65277617,11.84923758,3.578628798,0.954301013,0.636200675,0.318100338,0.874775929,2598
L. Mousset,0.393464923,15.23634237,24.48697881,15.50841991,1.360387712,1.088310169,0.544155085,0,0.544155085,676
F. Diabaté,0.124149709,27.03557312,34.87588933,14.59920949,2.973913043,0.811067194,0,0.270355731,0.811067194,630
K. Iheanacho,0.935693146,18.49114285,24.3746883,7.144305191,1.050633116,1.470886363,0.63037987,0.420253247,0.840506493,886
D. Solanke,0.766881754,17.13354064,26.79861485,6.809484102,4.832537104,0.87864311,0.219660777,0.439321555,0.87864311,647
D. Calvert-Lewin,0.54814729,12.86480885,28.26206039,7.597328062,14.99206071,0.202595415,0.40519083,0.40519083,0.40519083,1985
Gabriel Jesus,0.764737402,15.21482046,21.85265879,4.251199834,1.491649064,0.969571892,0.969571892,0.149164906,0.447494719,1729
T. Abraham,0.679570972,7.996177236,16.9392702,9.784795829,5.471068635,0.63127715,0.526064292,0.105212858,0.315638575,1813
Richarlison,0.642491675,15.64588263,29.06547365,15.08930973,8.039386329,0.680255766,0.309207167,0.247365733,0.309207167,2963
M. Rashford,0.415373487,17.10721622,28.82565933,10.17879365,1.454113379,1.197505135,0.598752568,0.342144324,0.76982473,1904
